i,latencycrea,time
368,60.413000,0.040657
369,91.073001,0.040753
370,63.836000,0.040824
371,79.060002,0.040908
372,57.619000,0.040973
373,82.972001,0.041061
374,59.574999,0.041126
375,79.131001,0.041211
376,57.759000,0.041273
377,89.187997,0.041368
378,60.482998,0.041435
379,82.063998,0.041523
380,58.178000,0.041587
381,77.874000,0.041670
382,58.178000,0.041734
383,81.924998,0.041821
384,57.689002,0.041886
385,77.593999,0.041968
386,57.689998,0.042032
387,76.686003,0.042114
388,59.993999,0.042180
389,178.795002,0.042364
390,81.575003,0.042452
391,83.949002,0.042542
392,59.574999,0.042606
393,83.530002,0.042696
394,58.458001,0.042760
395,82.204002,0.042848
396,60.553000,0.042915
397,78.083001,0.042998
398,60.343002,0.043064
399,79.758996,0.043149
400,59.226000,0.043214
401,84.159998,0.043306
402,58.178000,0.043371
403,84.927000,0.043461
404,57.620000,0.043525
405,80.318001,0.043610
406,60.134000,0.043677
407,77.803001,0.043760
408,57.130001,0.043823
409,78.571997,0.043907
410,59.086000,0.043973
411,81.295999,0.044060
412,57.480000,0.044124
413,79.199999,0.044208
414,59.645001,0.044274
415,78.851997,0.044358
416,60.064001,0.044425
417,78.641999,0.044509
418,58.108999,0.044573
419,81.505998,0.044661
420,68.164998,0.044735
421,89.118003,0.044830
422,58.247999,0.044894
423,78.782003,0.044978
424,60.972001,0.045045
425,80.038000,0.045130
426,59.993999,0.045196
427,77.664001,0.045279
428,57.619000,0.045343
429,81.714999,0.045430
430,55.804001,0.045491
431,80.177997,0.045577
432,61.111998,0.045644
433,77.523997,0.045727
434,61.949999,0.045796
435,77.105004,0.045878
436,58.876001,0.045943
437,82.063998,0.046031
438,57.759000,0.046095
439,80.947000,0.046181
440,56.920999,0.046244
441,79.969002,0.046330
442,59.574999,0.046396
443,77.523997,0.046479
444,59.993999,0.046544
445,78.222998,0.046628
446,59.086000,0.046693
447,82.204002,0.046781
448,57.199999,0.046844
449,80.247999,0.046930
450,57.130001,0.046993
451,80.596998,0.047079
452,60.064001,0.047146
453,77.523997,0.047229
454,56.501998,0.047291
455,81.575003,0.047378
456,59.086000,0.047443
457,97.987999,0.047547
458,57.759000,0.047611
459,78.293000,0.047695
460,60.132999,0.047762
461,79.129997,0.047846
462,60.134000,0.047913
463,78.083001,0.047996
464,159.867996,0.048167
465,132.699002,0.048312
466,105.042003,0.048428
467,83.111998,0.048522
468,79.201003,0.048611
469,78.571997,0.048718
470,75.848002,0.048801
471,58.387999,0.048865
472,59.574999,0.048931
473,57.620000,0.048995
474,58.597001,0.049059
475,60.553000,0.049126
476,58.598001,0.049191
477,58.666999,0.049256
478,59.574999,0.049322
479,57.271001,0.049385
480,59.574999,0.049450
481,57.760000,0.049514
482,59.155002,0.049579
483,59.784001,0.049645
484,58.178000,0.049710
485,61.042003,0.049777
486,58.666999,0.049842
487,59.226000,0.049907
488,60.134000,0.049973
489,56.781999,0.050037
490,58.598001,0.050101
491,56.641002,0.050164
492,58.247999,0.050228
493,59.155998,0.050294
494,56.711000,0.050357
495,55.245000,0.050418
496,58.666999,0.050482
497,57.199999,0.050545
498,59.086000,0.050611
499,57.060999,0.050674
500,55.385000,0.050735
501,62.439001,0.050806
502,58.107998,0.050871
503,59.505001,0.050936
504,56.851000,0.050999
505,57.270001,0.051062
506,59.574999,0.051128
507,57.130001,0.051192
508,65.512002,0.051263
509,63.416999,0.051333
510,58.107998,0.051397
511,59.853999,0.051463
512,57.480000,0.051527
513,59.086000,0.051591
514,56.780998,0.051654
515,56.991001,0.051717
516,58.876001,0.051782
517,59.574999,0.051848
518,58.247999,0.051912
519,59.645001,0.051978
520,57.060999,0.052041
521,58.666999,0.052105
522,57.270001,0.052168
523,59.155998,0.052233
524,59.645001,0.052299
525,57.759000,0.052362
526,59.155998,0.052428
527,56.362998,0.052491
528,58.805999,0.052556
529,59.645001,0.052621
530,57.271001,0.052685
531,68.095003,0.052759
532,61.740000,0.052827
533,60.132999,0.052893
534,60.553000,0.052960
535,57.130001,0.053024
536,57.480000,0.053087
537,61.042003,0.053183
538,67.817004,0.053258
539,68.863999,0.053333
540,58.178000,0.053397
541,58.178000,0.053461
542,59.505001,0.053527
543,57.899000,0.053591
544,59.226000,0.053656
545,57.339999,0.053720
546,57.200999,0.053783
547,61.669998,0.053851
548,81.156002,0.053938
549,77.315002,0.054023
550,80.318001,0.054110
551,57.199999,0.054174
552,60.553000,0.054239
553,58.597001,0.054305
554,59.853999,0.054370
555,57.410001,0.054433
556,57.199999,0.054496
557,58.107998,0.054561
558,56.991001,0.054624
559,58.387999,0.054688
560,59.087000,0.054753
561,58.598001,0.054818
562,59.855000,0.054884
563,58.807000,0.054948
564,61.949999,0.055016
565,60.064001,0.055081
566,57.759000,0.055144
567,58.876001,0.055209
568,57.759000,0.055272
569,58.666999,0.055336
570,59.645001,0.055401
571,56.362001,0.055464
572,59.574999,0.055529
573,57.270001,0.055592
574,59.155998,0.055658
575,59.714999,0.055723
576,56.780998,0.055787
577,59.226000,0.055852
578,57.339999,0.055915
579,58.317000,0.055980
580,59.645001,0.056046
581,57.270001,0.056109
582,57.339999,0.056173
583,58.597001,0.056237
584,61.879997,0.056305
585,59.086000,0.056370
586,56.362001,0.056433
587,57.131001,0.056496
588,59.645001,0.056562
589,58.597001,0.056626
590,67.118002,0.056709
591,61.530998,0.056776
592,58.107998,0.056840
593,59.155998,0.056906
594,58.178000,0.056971
595,58.737001,0.057035
596,57.270001,0.057098
597,57.689002,0.057162
598,58.737001,0.057227
599,57.060999,0.057290
600,58.666999,0.057354
601,57.270001,0.057420
602,56.851000,0.057484
603,59.435999,0.057549
604,57.199999,0.057612
605,57.270001,0.057676
606,59.225000,0.057741
607,58.038000,0.057805
608,59.993999,0.057871
609,56.780998,0.057934
610,59.225000,0.058000
611,59.505001,0.058065
612,57.200999,0.058128
613,59.574999,0.058193
614,57.270001,0.058257
615,58.737001,0.058322
616,59.645001,0.058387
617,56.293000,0.058450
618,59.086000,0.058515
619,57.339999,0.058578
620,58.387999,0.058642
621,58.666999,0.058708
622,56.780998,0.058770
623,57.759000,0.058834
624,59.365000,0.058900
625,58.178000,0.058964
626,59.574999,0.059030
627,56.781999,0.059093
628,55.105000,0.059154
629,59.574999,0.059219
630,58.178000,0.059284
631,59.016002,0.059349
632,55.944001,0.059411
633,57.270001,0.059474
634,59.086000,0.059540
635,58.178000,0.059604
636,59.855000,0.059670
637,83.949999,0.059761
638,112.166003,0.059882
639,67.816000,0.059957
640,60.622999,0.060024
641,62.018997,0.060093
642,60.413000,0.060159
643,59.785001,0.060224
644,60.553000,0.060291
645,59.574999,0.060356
646,59.574999,0.060421
647,62.229003,0.060490
648,58.666999,0.060554
649,60.134000,0.060620
650,59.714999,0.060686
651,73.543000,0.060766
652,62.927997,0.060834
653,59.993999,0.060900
654,60.762999,0.060967
655,58.946000,0.061031
656,59.574999,0.061097
657,61.530998,0.061164
658,59.924001,0.061230
659,61.461003,0.061298
660,59.086000,0.061363
661,59.086000,0.061428
662,61.879997,0.061496
663,59.155998,0.061562
664,59.645001,0.061627
665,58.666999,0.061692
666,61.810002,0.061760
667,65.093001,0.061832
668,59.155998,0.061896
669,59.645001,0.061961
670,61.321000,0.062029
671,60.413000,0.062096
672,60.482998,0.062162
673,59.086000,0.062227
674,59.434999,0.062293
675,61.111998,0.062359
676,60.134000,0.062425
677,61.111998,0.062492
678,59.434999,0.062557
679,59.086000,0.062622
680,60.553000,0.062689
681,59.993999,0.062755
682,61.740997,0.062823
683,58.458001,0.062886
684,60.064001,0.062952
685,60.553000,0.063018
686,59.853999,0.063084
687,59.505001,0.063150
688,62.368999,0.063218
689,58.597001,0.063283
690,61.250998,0.063350
691,59.226000,0.063415
692,61.601000,0.063483
693,62.437997,0.063552
694,59.853999,0.063618
695,60.553000,0.063684
696,58.597001,0.063748
697,60.553000,0.063814
698,61.810002,0.063883
699,59.016002,0.063948
700,62.927997,0.064016
701,58.598001,0.064083
702,59.924001,0.064149
703,62.439001,0.064218
704,59.574999,0.064284
705,59.644000,0.064350
706,59.714999,0.064415
707,59.574999,0.064481
708,61.461003,0.064549
709,58.666999,0.064614
710,58.877002,0.064679
711,71.028997,0.064756
712,64.394000,0.064827
713,62.018997,0.064895
714,58.666999,0.064959
715,62.018997,0.065047
716,62.997999,0.065116
717,60.901999,0.065183
718,60.832001,0.065249
719,58.597001,0.065314
720,59.086000,0.065379
721,61.740000,0.065447
722,60.901999,0.065514
723,60.621998,0.065581
724,58.737001,0.065647
725,62.507999,0.065717
726,60.552000,0.065786
727,60.134000,0.065851
728,59.645001,0.065918
729,59.434999,0.065983
730,57.899000,0.066048
731,61.461003,0.066115
732,58.039001,0.066178
733,59.365000,0.066244
734,60.832001,0.066310
735,58.597001,0.066374
736,61.530998,0.066443
737,58.946000,0.066507
738,59.505001,0.066573
739,61.040999,0.066640
740,58.737001,0.066704
741,60.203001,0.066770
742,60.134000,0.066836
743,59.574999,0.066902
744,61.461003,0.066969
745,59.086000,0.067035
746,61.740000,0.067101
747,59.155998,0.067166
748,61.530001,0.067233
749,61.321000,0.067300
750,59.853999,0.067366
751,57.620000,0.067429
752,59.644000,0.067495
753,59.366001,0.067561
754,60.901999,0.067627
755,58.178000,0.067691
756,58.666999,0.067756
757,62.509003,0.067825
758,59.645001,0.067891
759,62.018997,0.067959
760,59.086000,0.068025
761,64.674001,0.068095
762,62.229003,0.068163
763,59.087000,0.068228
764,62.020001,0.068296
765,58.457001,0.068360
766,59.434999,0.068425
767,61.600003,0.068493
768,59.714999,0.068559
769,61.810002,0.068627
770,59.644000,0.068693
771,72.005998,0.068771
772,60.553000,0.068838
773,58.387999,0.068902
774,60.064001,0.068968
775,61.111998,0.069035
776,59.155998,0.069101
777,60.413000,0.069167
778,59.086000,0.069231
779,59.644000,0.069297
780,62.858002,0.069366
781,58.877002,0.069431
782,60.132999,0.069497
783,59.225000,0.069562
784,59.574999,0.069628
785,61.182000,0.069695
786,59.574999,0.069761
787,60.972001,0.069828
788,59.574999,0.069894
789,61.321000,0.069960
790,62.020001,0.070028
791,59.155998,0.070093
792,59.226000,0.070159
793,59.086000,0.070224
794,59.505001,0.070289
795,61.461003,0.070357
796,59.086000,0.070422
797,58.947000,0.070487
798,60.553000,0.070553
799,62.507999,0.070621
800,61.530998,0.070689
801,59.155998,0.070757
802,57.619000,0.070821
803,60.064001,0.070887
804,59.086000,0.070952
805,61.321000,0.071019
806,62.437997,0.071088
807,58.666999,0.071152
808,60.622999,0.071219
809,59.925002,0.071285
810,60.134000,0.071350
811,59.714999,0.071416
812,58.597001,0.071481
813,114.609997,0.071602
814,106.858002,0.071721
815,120.826000,0.071855
816,146.947001,0.072017
817,106.788000,0.072137
818,85.416003,0.072233
819,78.502002,0.072322
820,82.692997,0.072414
821,80.528000,0.072504
822,78.153003,0.072592
823,80.108002,0.072682
824,96.800002,0.072789
825,87.023000,0.072885
826,80.247999,0.072975
827,78.782003,0.073064
828,80.388003,0.073154
829,77.245000,0.073241
830,81.644997,0.073332
831,81.855003,0.073423
832,78.153003,0.073511
833,79.969002,0.073600
834,77.803998,0.073688
835,89.745998,0.073787
836,69.283000,0.073864
837,57.759000,0.073928
838,57.199999,0.073992
839,59.155998,0.074058
840,58.247999,0.074122
841,58.946000,0.074187
842,57.689002,0.074251
843,53.918000,0.074312
844,59.645001,0.074377
845,56.572000,0.074440
846,58.946000,0.074505
847,56.781999,0.074568
848,57.199999,0.074631
849,59.853999,0.074697
850,57.550002,0.074760
851,60.553000,0.074827
852,57.339999,0.074891
853,57.480000,0.074955
854,59.505001,0.075020
855,57.270001,0.075083
856,58.666999,0.075148
857,57.339999,0.075212
858,57.130001,0.075274
859,59.155998,0.075339
860,57.270001,0.075402
861,57.270001,0.075465
862,59.645001,0.075531
863,58.247999,0.075595
864,60.134000,0.075660
865,56.851000,0.075723
866,59.295999,0.075788
867,60.064001,0.075856
868,55.384000,0.075918
869,59.226000,0.075984
870,54.126998,0.076043
871,59.644000,0.076107
872,61.042003,0.076173
873,60.621998,0.076240
874,63.416002,0.076310
875,58.666999,0.076373
876,59.645001,0.076439
877,61.879997,0.076506
878,58.737001,0.076571
879,58.666999,0.076635
880,75.080003,0.076715
881,65.371998,0.076787
882,66.000997,0.076860
883,59.645001,0.076925
884,59.644000,0.076991
885,62.717998,0.077060
886,61.250998,0.077127
887,60.553000,0.077193
888,204.356998,0.077405
889,64.394997,0.077476
890,63.904998,0.077546
891,60.413000,0.077613
892,62.856998,0.077682
893,63.416999,0.077787
894,59.993999,0.077853
895,61.250998,0.077921
896,60.482998,0.077987
897,59.087000,0.078053
898,58.387999,0.078117
899,56.501998,0.078179
900,60.064001,0.078245
901,59.645001,0.078314
902,59.714999,0.078380
903,60.482998,0.078446
904,60.064001,0.078511
905,62.020001,0.078579
906,59.645001,0.078645
907,59.365000,0.078710
908,62.020001,0.078778
909,57.759000,0.078842
910,60.064001,0.078907
911,58.387999,0.078972
912,59.645001,0.079037
913,61.042003,0.079104
914,59.366001,0.079169
915,59.853999,0.079234
916,57.620000,0.079298
917,59.575999,0.079364
918,61.042003,0.079431
919,59.365000,0.079497
920,57.199999,0.079560
921,59.155002,0.079624
922,61.111998,0.079692
923,62.578001,0.079760
924,59.155998,0.079825
925,59.506001,0.079891
926,60.552000,0.079957
927,59.434999,0.080022
928,62.020001,0.080090
929,57.759000,0.080154
930,58.107998,0.080218
931,61.740000,0.080286
932,59.574999,0.080351
933,60.972001,0.080418
934,58.526999,0.080482
935,59.294998,0.080548
936,61.530998,0.080615
937,71.378003,0.080693
938,85.277003,0.080784
939,61.530998,0.080852
940,61.111001,0.080919
941,60.482998,0.080986
942,57.828998,0.081050
943,60.134000,0.081115
944,62.018997,0.081184
945,59.086000,0.081249
946,60.553000,0.081315
947,58.107998,0.081379
948,59.016002,0.081445
949,60.553000,0.081512
950,59.434999,0.081577
951,60.064001,0.081642
952,58.247999,0.081706
953,59.155998,0.081772
954,60.832001,0.081838
955,59.016998,0.081903
956,60.132999,0.081969
957,58.666999,0.082034
958,58.597001,0.082098
959,61.601000,0.082166
960,59.645001,0.082232
961,61.461003,0.082299
962,58.737001,0.082364
963,59.086000,0.082430
964,60.553000,0.082496
965,58.107998,0.082560
966,59.365000,0.082626
967,60.553000,0.082692
968,60.064001,0.082758
969,59.645001,0.082823
970,59.434999,0.082888
971,58.947000,0.082953
972,61.600003,0.083021
973,109.023000,0.083241
974,178.026996,0.083436
975,167.271006,0.083620
976,119.499004,0.083753
977,134.793998,0.083902
978,113.003996,0.084029
979,86.813001,0.084127
980,79.758996,0.084217
981,80.179001,0.084306
982,80.667000,0.084397
983,77.803998,0.084485
984,80.946003,0.084575
985,79.060999,0.084664
986,89.118003,0.084763
987,76.406999,0.084848
988,59.645001,0.084914
989,58.737001,0.084979
990,59.434999,0.085045
991,57.689002,0.085108
992,59.086000,0.085174
993,57.199999,0.085237
994,59.366001,0.085303
995,59.644000,0.085369
996,56.711000,0.085432
997,60.482998,0.085499
998,57.480000,0.085562
999,61.040999,0.085629
1000,60.553000,0.085696
1001,57.550002,0.085763
1002,59.295999,0.085827
1003,57.199999,0.085890
1004,59.086000,0.085956
1005,59.086000,0.086020
1006,57.200999,0.086084
1007,56.711000,0.086147
1008,59.086000,0.086212
1009,58.107998,0.086276
1010,59.086000,0.086342
1011,57.130001,0.086405
1012,57.619000,0.086468
1013,66.838998,0.086541
1014,57.899000,0.086605
1015,60.064001,0.086672
1016,56.851000,0.086735
1017,56.851000,0.086798
1018,59.644000,0.086864
1019,58.666999,0.086928
1020,59.644000,0.086994
1021,57.339999,0.087057
1022,57.131001,0.087121
1023,60.134000,0.087186
1024,54.406999,0.087246
1025,58.807000,0.087311
1026,56.711000,0.087374
1027,54.895001,0.087435
1028,59.645001,0.087500
1029,56.432000,0.087563
1030,57.549001,0.087627
1031,59.506001,0.087693
1032,57.270001,0.087756
1033,58.737001,0.087821
1034,57.339999,0.087884
1035,59.087000,0.087949
1036,60.064001,0.088015
1037,57.339999,0.088079
1038,59.226000,0.088143
1039,56.572000,0.088207
1040,59.086000,0.088272
1041,59.574999,0.088338
1042,54.545999,0.088398
1043,58.876001,0.088463
1044,55.314998,0.088525
1045,59.645001,0.088591
1046,59.226000,0.088656
1047,65.512002,0.088727
1048,59.226000,0.088792
1049,58.737001,0.088857
1050,60.064001,0.088923
1051,83.391002,0.089011
1052,78.293000,0.089095
1053,58.178000,0.089160
1054,60.832001,0.089227
1055,59.505001,0.089292
1056,59.645001,0.089358
1057,56.851000,0.089421
1058,57.550002,0.089485
1059,60.901999,0.089551
1060,66.209999,0.089623
1061,59.574999,0.089689
1062,62.159001,0.089757
1063,57.759000,0.089821
1064,62.997002,0.089890
1065,58.107998,0.089955
1066,74.310999,0.090035
1067,57.270001,0.090098
1068,63.904998,0.090198
1069,68.515001,0.090272
1070,57.899000,0.090336
1071,60.064001,0.090402
1072,65.371998,0.090473
1073,56.501998,0.090536
1074,59.924001,0.090602
1075,56.781999,0.090665
1076,59.645001,0.090731
1077,59.435999,0.090797
1078,58.107998,0.090862
1079,60.553000,0.090928
1080,57.339999,0.090992
1081,59.714999,0.091057
1082,60.134000,0.091123
1083,57.271001,0.091187
1084,59.574999,0.091252
1085,56.780998,0.091315
1086,58.458001,0.091380
1087,59.644000,0.091446
1088,57.199999,0.091509
1089,58.597001,0.091574
1090,56.572000,0.091636
1091,58.178000,0.091700
1092,59.574999,0.091766
1093,57.200999,0.091830
1094,58.038000,0.091894
1095,59.155998,0.091959
1096,58.179001,0.092023
1097,59.993999,0.092089
1098,57.199999,0.092152
1099,56.291999,0.092214
1100,59.086000,0.092279
1101,59.016002,0.092347
1102,59.714999,0.092412
1103,56.780998,0.092476
1104,57.270001,0.092539
1105,58.598001,0.092604
1106,58.318001,0.092668
1107,70.191003,0.092745
1108,59.155998,0.092810
1109,58.178000,0.092874
1110,59.714999,0.092940
1111,57.759000,0.093004
1112,58.737001,0.093068
1113,57.339999,0.093132
1114,57.130001,0.093196
1115,60.064001,0.093261
1116,57.759000,0.093325
1117,58.247999,0.093389
1118,59.925002,0.093455
1119,57.199999,0.093518
1120,59.155998,0.093583
1121,57.339999,0.093647
1122,58.526999,0.093711
1123,60.482998,0.093778
1124,56.781999,0.093841
1125,59.645001,0.093906
1126,57.549001,0.093969
1127,57.759000,0.094034
1128,60.482998,0.094100
1129,56.222001,0.094163
1130,59.574999,0.094228
1131,57.271001,0.094291
1132,59.086000,0.094356
1133,59.993999,0.094422
1134,56.711000,0.094485
1135,57.480000,0.094548
1136,58.666999,0.094612
1137,57.200999,0.094676
1138,59.086000,0.094740
1139,114.750001,0.094864
1140,94.775001,0.094966
1141,84.159998,0.095056
1142,63.346000,0.095126
1143,62.020001,0.095194
1144,57.619000,0.095257
1145,57.130001,0.095320
1146,59.644000,0.095386
1147,58.247999,0.095451
1148,60.063001,0.095516
1149,57.339999,0.095579
1150,57.270001,0.095643
1151,59.226000,0.095707
