hash,key,value,next
2,michaelchristensen,-2611,jamesjoseph
2,jamesjoseph,-3870,ramirezbrianna
2,ramirezbrianna,-2553,petermoran
2,petermoran,-1136,warnercrystal
2,warnercrystal,360,cynthiarosales
2,cynthiarosales,-3301,deborahwagner
2,deborahwagner,-2496,gonzalezrenee
2,gonzalezrenee,2057,monicaaa
2,monicaaa,1061,wileymichael
2,wileymichael,515,jamesmurphy
2,jamesmurphy,417,isaacaustin
2,isaacaustin,44,aliciaaa
2,aliciaaa,-986,robertbell
2,robertbell,-1101,nprice
2,nprice,-1283,tsmith
2,tsmith,805,iestes
2,iestes,1401,thompsondaniel
2,thompsondaniel,1814,williamstephens
2,williamstephens,1977,vhaley
2,vhaley,-1800,christyrobbins
2,christyrobbins,420,ohanna
2,ohanna,-3115,xmatthews
2,xmatthews,623,carljones
2,carljones,1470,jillianaa
2,jillianaa,658,scottsydney
2,scottsydney,-2911,jackieaa
2,jackieaa,-1520,markaa
2,markaa,754,davidsmith
2,davidsmith,309,zhunt
2,zhunt,231,pchavez
2,pchavez,-329,NULL

3,vazquezdavid,682,oscaraa
3,oscaraa,-919,tabithachambers
3,tabithachambers,-416,jaredhensley
3,jaredhensley,1258,payneyvette
3,payneyvette,-2002,kevinschneider
3,kevinschneider,2828,maryharris
3,maryharris,-1304,harveyjillian
3,harveyjillian,2417,kbrewer
3,kbrewer,-1356,smithjennifer
3,smithjennifer,-424,christinagay
3,christinagay,2526,vhaynes
3,vhaynes,3627,dali
3,dali,-838,roberthughes
3,roberthughes,-3469,sanderstrevor
3,sanderstrevor,357,smithmeagan
3,smithmeagan,-1187,ogarcia
3,ogarcia,1350,kmorton
3,kmorton,1134,tammywilkerson
3,tammywilkerson,-665,makaylaaa
3,makaylaaa,-1983,xballard
3,xballard,2445,dfuentes
3,dfuentes,-9,jdunlap
3,jdunlap,-2378,pwalters
3,pwalters,-1338,michaelmccoy
3,michaelmccoy,82,jacquelinesmith
3,jacquelinesmith,-4398,zacharyschmidt
3,zacharyschmidt,1077,novaksharon
3,novaksharon,1213,kelseynorris
3,kelseynorris,2421,charlesbullock
3,charlesbullock,932,leepamela
3,leepamela,-2232,changjoseph
3,changjoseph,-1355,morgansheila
3,morgansheila,777,ogrimes
3,ogrimes,49,johnsonjasmine
3,johnsonjasmine,1662,ericmartin
3,ericmartin,-3144,ihill
3,ihill,368,wnelson
3,wnelson,1220,delacruzthomas
3,delacruzthomas,-2334,walkerteresa
3,walkerteresa,1354,martinchristopher
3,martinchristopher,132,tbaxter
3,tbaxter,358,marcusobrien
3,marcusobrien,-1634,allencrystal
3,allencrystal,333,blanchardchristopher
3,blanchardchristopher,778,ashleywoods
3,ashleywoods,-305,stacylee
3,stacylee,668,vthompson
3,vthompson,3121,NULL

4,ccruz,-704,hamiltonwilliam
4,hamiltonwilliam,1783,sheacarmen
4,sheacarmen,1622,noblegary
4,noblegary,3240,vcameron
4,vcameron,3679,davisbrian
4,davisbrian,2237,stanner
4,stanner,-243,rodgerschelsea
4,rodgerschelsea,482,perkinsjacob
4,perkinsjacob,-380,htaylor
4,htaylor,-2765,hensleymichael
4,hensleymichael,1519,westbrian
4,westbrian,3684,chavezerin
4,chavezerin,-1761,jillnunez
4,jillnunez,-2147,jeffreydiaz
4,jeffreydiaz,-381,simmonskevin
4,simmonskevin,1414,lauramoore
4,lauramoore,-3957,tanyahurst
4,tanyahurst,551,dillonmoran
4,dillonmoran,853,kcaldwell
4,kcaldwell,3727,hancockapril
4,hancockapril,1371,obrown
4,obrown,-496,fryebrett
4,fryebrett,2306,uortega
4,uortega,-1855,bendergabriela
4,bendergabriela,2104,kwinters
4,kwinters,2411,pwalsh
4,pwalsh,820,richardclayton
4,richardclayton,2452,reedjohn
4,reedjohn,1619,rhoward
4,rhoward,-1724,jlawrence
4,jlawrence,-1405,kerrjeff
4,kerrjeff,-1338,mholder
4,mholder,1084,charlesjoseph
4,charlesjoseph,1879,ortizdustin
4,ortizdustin,103,hillashley
4,hillashley,-1062,villegaserica
4,villegaserica,-3098,christinaaa
4,christinaaa,115,elizabethhernandez
4,elizabethhernandez,3536,thomasmontoya
4,thomasmontoya,-810,NULL

5,jonesjennifer,2453,crose
5,crose,-4081,kimbradley
5,kimbradley,631,kevans
5,kevans,-1847,morganapril
5,morganapril,-1565,okim
5,okim,29,barrysuzanne
5,barrysuzanne,83,karlaa
5,karlaa,956,sandersjames
5,sandersjames,-314,moralesdiane
5,moralesdiane,81,kferguson
5,kferguson,802,cranechristopher
5,cranechristopher,1980,nicolesherman
5,nicolesherman,2927,gdennis
5,gdennis,-498,hardingjason
5,hardingjason,-2505,kathleennichols
5,kathleennichols,-2050,kristaramirez
5,kristaramirez,-3979,tanyajones
5,tanyajones,2454,jeromeaa
5,jeromeaa,-1127,whitejeffrey
5,whitejeffrey,2766,michellestevenson
5,michellestevenson,-4027,costajohnny
5,costajohnny,-4048,mitchellcrystal
5,mitchellcrystal,1823,walkercharles
5,walkercharles,4038,frankaa
5,frankaa,-1792,grichard
5,grichard,761,moralesrebecca
5,moralesrebecca,-1126,coreywilliams
5,coreywilliams,-707,whansen
5,whansen,1649,jhale
5,jhale,131,hlawson
5,hlawson,416,carrieaa
5,carrieaa,2459,dannyaa
5,dannyaa,-1657,tuckerjoshua
5,tuckerjoshua,-1126,wrightsean
5,wrightsean,1865,jessicameyer
5,jessicameyer,-83,ashleyyates
5,ashleyyates,804,rochajason
5,rochajason,-2318,perezkayla
5,perezkayla,3105,jasminerivera
5,jasminerivera,481,westandrew
5,westandrew,-1306,gcontreras
5,gcontreras,-2606,swhite
5,swhite,1380,johnsonjulie
5,johnsonjulie,-1895,philipaa
5,philipaa,-588,laurasawyer
5,laurasawyer,-1297,sgutierrez
5,sgutierrez,-1411,danielleaa
5,danielleaa,2861,hannahaa
5,hannahaa,884,upeters
5,upeters,-3840,kevinhernandez
5,kevinhernandez,779,nbernard
5,nbernard,2542,ijohnson
5,ijohnson,-451,NULL

6,grahammary,-915,ghenderson
6,ghenderson,-2864,jamesbass
6,jamesbass,-2471,leewilliam
6,leewilliam,-2783,kristiburgess
6,kristiburgess,-2229,ucombs
6,ucombs,1621,nicholasdawson
6,nicholasdawson,-803,thompsonkathy
6,thompsonkathy,-764,haleyaa
6,haleyaa,4046,aluna
6,aluna,2126,douglascarlson
6,douglascarlson,-519,ucabrera
6,ucabrera,-242,kylejames
6,kylejames,-2005,johnathanaa
6,johnathanaa,-2200,ethompson
6,ethompson,-2310,dgreer
6,dgreer,-1295,wcobb
6,wcobb,-1158,qdavidson
6,qdavidson,-2334,lrangel
6,lrangel,3009,charlescortez
6,charlescortez,-3630,hendrixjohn
6,hendrixjohn,-261,williamlynch
6,williamlynch,-1693,shelbyaa
6,shelbyaa,993,jacksonantonio
6,jacksonantonio,-1229,ayersjoseph
6,ayersjoseph,-821,kingtyler
6,kingtyler,-2226,elizabethharris
6,elizabethharris,-243,longanthony
6,longanthony,1508,jenniferthomas
6,jenniferthomas,3837,zjones
6,zjones,-1693,nfowler
6,nfowler,1123,toddaa
6,toddaa,2445,xdunn
6,xdunn,1634,haleyguzman
6,haleyguzman,-2167,adamsadrian
6,adamsadrian,515,douglasalex
6,douglasalex,-2645,marissamatthews
6,marissamatthews,-1203,jacobssarah
6,jacobssarah,3001,pscott
6,pscott,575,cmartinez
6,cmartinez,3948,amberaa
6,amberaa,1170,lisacooper
6,lisacooper,-1238,randallsarah
6,randallsarah,-698,NULL

7,matthewallen,-3671,reginasims
7,reginasims,1886,vandersen
7,vandersen,-232,morganrobert
7,morganrobert,465,sharonrodriguez
7,sharonrodriguez,183,christophervega
7,christophervega,-2933,andrewhuff
7,andrewhuff,1437,williamspeter
7,williamspeter,117,vasquezfrederick
7,vasquezfrederick,-2445,phillipsnicholas
7,phillipsnicholas,3920,jeffreymora
7,jeffreymora,-1343,christophergarcia
7,christophergarcia,-140,laurenflynn
7,laurenflynn,2573,zacharyvang
7,zacharyvang,733,ortizadrienne
7,ortizadrienne,2745,brandiaa
7,brandiaa,974,ronaldpatton
7,ronaldpatton,-859,pattybarron
7,pattybarron,1052,ehoward
7,ehoward,385,richardharris
7,richardharris,-843,robertvilla
7,robertvilla,428,umiller
7,umiller,48,matthewmorris
7,matthewmorris,-1430,alexbrown
7,alexbrown,1085,aking
7,aking,-503,roselisa
7,roselisa,2927,reyesjesus
7,reyesjesus,418,martinmichael
7,martinmichael,-2653,hwilliams
7,hwilliams,-982,ericaclarke
7,ericaclarke,-811,dritter
7,dritter,709,palmershawn
7,palmershawn,1200,jennifermiller
7,jennifermiller,1324,davidbush
7,davidbush,1032,mooresheena
7,mooresheena,2946,dmitchell
7,dmitchell,1828,wwilliamson
7,wwilliamson,44,esmith
7,esmith,-1950,wesleybaker
7,wesleybaker,1700,brandonaa
7,brandonaa,-124,randalldavid
7,randalldavid,-1739,jeffreyjohnston
7,jeffreyjohnston,-2030,ericaaa
7,ericaaa,-4040,kristinaa
7,kristinaa,-898,valenzuelachristopher
7,valenzuelachristopher,-3726,angelaaa
7,angelaaa,624,NULL

8,williamschristina,1673,jamesjacob
8,jamesjacob,-4793,crawfordjill
8,crawfordjill,-1802,lonnieaa
8,lonnieaa,2709,franciscomay
8,franciscomay,-816,penningtoncaleb
8,penningtoncaleb,558,normaaa
8,normaaa,-2621,lindseytaylor
8,lindseytaylor,356,osanchez
8,osanchez,-3512,jerrygarcia
8,jerrygarcia,-3642,qbrowning
8,qbrowning,-24,elizabethjones
8,elizabethjones,1798,williamssandra
8,williamssandra,357,myersalicia
8,myersalicia,-2590,sandraadams
8,sandraadams,-682,zgeorge
8,zgeorge,300,ymartinez
8,ymartinez,277,rubiolarry
8,rubiolarry,-3892,michellebryant
8,michellebryant,-2470,ybutler
8,ybutler,-2413,bruceaa
8,bruceaa,-927,tacosta
8,tacosta,-1064,gmorgan
8,gmorgan,-197,aedwards
8,aedwards,122,myersrickey
8,myersrickey,-69,erinwang
8,erinwang,-1609,tlambert
8,tlambert,-675,aimeeaa
8,aimeeaa,-671,williamskathryn
8,williamskathryn,1387,hernandezemily
8,hernandezemily,-952,xtaylor
8,xtaylor,-287,alopez
8,alopez,-1507,fmurphy
8,fmurphy,-1307,camachobradley
8,camachobradley,141,dmorales
8,dmorales,-3948,sarahmarshall
8,sarahmarshall,742,tylersharon
8,tylersharon,2769,adrienneroberts
8,adrienneroberts,-2922,scottrodgers
8,scottrodgers,-1046,clarkryan
8,clarkryan,-691,harrisamanda
8,harrisamanda,-3342,paynerobert
8,paynerobert,3061,richardaa
8,richardaa,733,NULL

9,hbarnett,482,davisernest
9,davisernest,931,robertdixon
9,robertdixon,1257,timothymoore
9,timothymoore,-4136,youngcraig
9,youngcraig,-1899,charlenelee
9,charlenelee,-1473,barbararoberts
9,barbararoberts,3308,wilsonholly
9,wilsonholly,2844,schavez
9,schavez,3279,fisherjermaine
9,fisherjermaine,2987,allendavid
9,allendavid,-25,barrerashannon
9,barrerashannon,-3399,yolandashields
9,yolandashields,-1786,jenkinsnicole
9,jenkinsnicole,1628,davisshannon
9,davisshannon,-4368,fmercer
9,fmercer,-2899,powellmaureen
9,powellmaureen,2926,adouglas
9,adouglas,-2537,tanyapowell
9,tanyapowell,-850,andrewwerner
9,andrewwerner,2937,daleaa
9,daleaa,421,hamiltonangela
9,hamiltonangela,4503,bradleyfox
9,bradleyfox,3710,dcunningham
9,dcunningham,-257,patriciavillanueva
9,patriciavillanueva,-1446,daviskenneth
9,daviskenneth,-3371,cartersara
9,cartersara,2495,kimmark
9,kimmark,-1815,lynchnicole
9,lynchnicole,4564,alexandercampbell
9,alexandercampbell,-1386,daniellewilliams
9,daniellewilliams,-360,kimberlysmith
9,kimberlysmith,-3187,garrisonjacob
9,garrisonjacob,2351,ronaldmcfarland
9,ronaldmcfarland,-1277,ucastillo
9,ucastillo,-1308,amymiller
9,amymiller,2069,diazalexander
9,diazalexander,1202,wpage
9,wpage,3008,nanderson
9,nanderson,-2686,ryanaa
9,ryanaa,-2682,kaylaaa
9,kaylaaa,-83,crystalaa
9,crystalaa,4337,ginabenson
9,ginabenson,559,davidangela
9,davidangela,178,NULL

10,castillorobert,-1992,kgross
10,kgross,306,martineztaylor
10,martineztaylor,-574,danielschmidt
10,danielschmidt,2915,greenbrian
10,greenbrian,824,colleenatkinson
10,colleenatkinson,1237,vpratt
10,vpratt,-1713,qkidd
10,qkidd,2909,zford
10,zford,2387,ortizcalvin
10,ortizcalvin,-2682,igraham
10,igraham,-560,cjenkins
10,cjenkins,-384,lroberts
10,lroberts,-2834,tracidillon
10,tracidillon,1587,mnunez
10,mnunez,225,butlerstephen
10,butlerstephen,78,lgarrett
10,lgarrett,1282,susanjones
10,susanjones,-4326,robertorr
10,robertorr,-1895,ryancatherine
10,ryancatherine,23,dmcdaniel
10,dmcdaniel,-2233,johnperry
10,johnperry,-1616,coleaa
10,coleaa,-3693,hmiller
10,hmiller,216,baileyadam
10,baileyadam,939,samuelaa
10,samuelaa,1936,bullockjose
10,bullockjose,1437,phelpsshannon
10,phelpsshannon,-1999,charlesdavis
10,charlesdavis,-1513,rwelch
10,rwelch,-893,harrellstephen
10,harrellstephen,-661,suarezalicia
10,suarezalicia,865,zhartman
10,zhartman,487,aguilarbrian
10,aguilarbrian,-407,hjackson
10,hjackson,1401,tracyaa
10,tracyaa,2683,thompsonvirginia
10,thompsonvirginia,-3473,jenkinstodd
10,jenkinstodd,-1326,kennethreed
10,kennethreed,-803,currymario
10,currymario,3482,lewisjennifer
10,lewisjennifer,-3317,carlaaa
10,carlaaa,-752,cindyaa
10,cindyaa,1190,lclark
10,lclark,2214,diazpatricia
10,diazpatricia,1017,franksharon
10,franksharon,-2727,ialexander
10,ialexander,336,qwilson
10,qwilson,-1487,fmaldonado
10,fmaldonado,2936,nmendez
10,nmendez,-3708,lisacampbell
10,lisacampbell,3405,davidfernandez
10,davidfernandez,-975,cward
10,cward,3294,andersonjason
10,andersonjason,928,jodydavis
10,jodydavis,-477,NULL

11,oosborn,-2710,ugordon
11,ugordon,-819,spencerpatrick
11,spencerpatrick,2003,mcameron
11,mcameron,-3093,juanwebb
11,juanwebb,-348,virginiahall
11,virginiahall,-1484,wilkinsrichard
11,wilkinsrichard,44,smithjoseph
11,smithjoseph,-2505,nbrown
11,nbrown,83,sheilaberg
11,sheilaberg,-1118,jorozco
11,jorozco,2205,briannagarcia
11,briannagarcia,3124,jasongriffith
11,jasongriffith,-3926,tadkins
11,tadkins,3673,zlewis
11,zlewis,-1293,qlynn
11,qlynn,-2694,petersoncharles
11,petersoncharles,2286,greenjulie
11,greenjulie,-1612,hawkinssamantha
11,hawkinssamantha,-1,heatherschultz
11,heatherschultz,-193,jenniferevans
11,jenniferevans,2689,qmcmillan
11,qmcmillan,-943,kdavis
11,kdavis,2086,mharris
11,mharris,3438,catherineweeks
11,catherineweeks,-2970,matthewsrodney
11,matthewsrodney,-1985,andrewspaul
11,andrewspaul,-1194,mtravis
11,mtravis,2268,selenaaa
11,selenaaa,-358,ascott
11,ascott,131,browncrystal
11,browncrystal,-1234,jeremyduran
11,jeremyduran,-1091,hfrost
11,hfrost,-1257,meadowspaul
11,meadowspaul,2888,emilyaa
11,emilyaa,389,joshuacunningham
11,joshuacunningham,1010,NULL

12,michaelvang,614,qtucker
12,qtucker,1390,kcarpenter
12,kcarpenter,3896,romerogerald
12,romerogerald,-1017,robertharris
12,robertharris,-1063,bennettgwendolyn
12,bennettgwendolyn,836,danarice
12,danarice,786,zsampson
12,zsampson,2117,briansawyer
12,briansawyer,-1355,megandavis
12,megandavis,-4485,hallrussell
12,hallrussell,1416,parsonsjennifer
12,parsonsjennifer,-4475,sbrooks
12,sbrooks,3689,ronaldrodriguez
12,ronaldrodriguez,200,nrichardson
12,nrichardson,1053,lewiswilliam
12,lewiswilliam,1957,lhuang
12,lhuang,1293,michaeldavid
12,michaeldavid,-1270,coxdiane
12,coxdiane,840,hickskaren
12,hickskaren,-1216,marcusthomas
12,marcusthomas,-457,barbararomero
12,barbararomero,-3709,bryanjohn
12,bryanjohn,-1149,davidvalencia
12,davidvalencia,-2967,dgray
12,dgray,-3609,ethanmorales
12,ethanmorales,3239,milleranna
12,milleranna,-2083,alexanderweiss
12,alexanderweiss,-1459,williamsjose
12,williamsjose,-1253,ubailey
12,ubailey,1182,vcarter
12,vcarter,42,isaacaa
12,isaacaa,246,tanyaburns
12,tanyaburns,1246,NULL

13,tylerreyes,-369,anthonytorres
13,anthonytorres,-3399,qross
13,qross,-887,ericamonroe
13,ericamonroe,-746,stevensonronnie
13,stevensonronnie,-513,mejianicole
13,mejianicole,2168,michaelmiller
13,michaelmiller,-178,sullivanjamie
13,sullivanjamie,-2231,ppeterson
13,ppeterson,921,yjensen
13,yjensen,-86,fisherjon
13,fisherjon,-3773,carneypatrick
13,carneypatrick,1750,jonesvictoria
13,jonesvictoria,540,breannatran
13,breannatran,-96,bryanwise
13,bryanwise,306,amendez
13,amendez,841,yjones
13,yjones,-1831,griley
13,griley,983,fmoore
13,fmoore,-2222,xthomas
13,xthomas,-129,allisonaa
13,allisonaa,446,fdixon
13,fdixon,15,twise
13,twise,-1060,sparker
13,sparker,770,williamhill
13,williamhill,1094,vfrost
13,vfrost,2121,sonyaaa
13,sonyaaa,2441,wolfeamber
13,wolfeamber,4156,willieaa
13,willieaa,1164,marcusmiller
13,marcusmiller,-877,floydmatthew
13,floydmatthew,-486,jamesschmidt
13,jamesschmidt,1654,mjohnson
13,mjohnson,-550,jackienorris
13,jackienorris,-467,sarahhill
13,sarahhill,1273,scotttaylor
13,scotttaylor,4460,NULL

14,calebrobinson,2153,melendeznicholas
14,melendeznicholas,-390,amberwalker
14,amberwalker,1122,ntodd
14,ntodd,1663,sanderson
14,sanderson,-2724,sanchezrebecca
14,sanchezrebecca,301,browningjeffrey
14,browningjeffrey,165,pduncan
14,pduncan,314,bradsanchez
14,bradsanchez,409,wsantiago
14,wsantiago,133,whitejerry
14,whitejerry,2530,russellmichael
14,russellmichael,2030,josewoods
14,josewoods,840,jacobrobinson
14,jacobrobinson,3591,mallen
14,mallen,-2544,davidwood
14,davidwood,612,greenalexander
14,greenalexander,-476,morenosherry
14,morenosherry,1600,billaa
14,billaa,-509,jimmytaylor
14,jimmytaylor,-2645,hgordon
14,hgordon,-406,rwarren
14,rwarren,-3323,xmiller
14,xmiller,-1431,brianrichardson
14,brianrichardson,-495,navarrojay
14,navarrojay,-1158,kingangela
14,kingangela,-3412,vwest
14,vwest,793,christinedavidson
14,christinedavidson,2631,evanscassandra
14,evanscassandra,-903,caldwelllogan
14,caldwelllogan,-2019,dsmith
14,dsmith,-2493,gwalker
14,gwalker,1236,millskristin
14,millskristin,32,martinwalker
14,martinwalker,3314,shawjoel
14,shawjoel,-532,brentaa
14,brentaa,-1929,aliciarobinson
14,aliciarobinson,-1606,patricksilva
14,patricksilva,-2198,gonzalesryan
14,gonzalesryan,3741,jeremiahbeltran
14,jeremiahbeltran,963,fishermegan
14,fishermegan,-385,johnaa
14,johnaa,2567,douglassherman
14,douglassherman,-4201,lboyer
14,lboyer,1830,NULL

15,hsalazar,1425,meyerlinda
15,meyerlinda,-995,whitepatricia
15,whitepatricia,2109,rmcfarland
15,rmcfarland,2185,rodriguezshane
15,rodriguezshane,-14,alexanderaa
15,alexanderaa,-191,hatfieldbrittany
15,hatfieldbrittany,420,lindseyaa
15,lindseyaa,2785,brightdonald
15,brightdonald,1644,avilafelicia
15,avilafelicia,1540,opoole
15,opoole,1450,lauradennis
15,lauradennis,1296,hryan
15,hryan,-2006,terribarrett
15,terribarrett,-9,katelynoconnell
15,katelynoconnell,-3671,sharoncolon
15,sharoncolon,-4259,garrisonchelsey
15,garrisonchelsey,-566,sherriking
15,sherriking,-2205,rgates
15,rgates,4094,christineroberts
15,christineroberts,4723,elizabethguzman
15,elizabethguzman,5,robinsonisabel
15,robinsonisabel,4052,youngkristen
15,youngkristen,-929,yolandaaa
15,yolandaaa,-2960,tammymitchell
15,tammymitchell,-2934,dhicks
15,dhicks,-2970,joydean
15,joydean,824,xlang
15,xlang,2308,jenniferlyons
15,jenniferlyons,-1500,rachelhester
15,rachelhester,533,williamsbrandon
15,williamsbrandon,-1590,qbaker
15,qbaker,-396,harrisjulie
15,harrisjulie,41,jayaa
15,jayaa,-549,scottroberts
15,scottroberts,217,atkinselizabeth
15,atkinselizabeth,2241,qkoch
15,qkoch,-2626,kathleenaa
15,kathleenaa,-1609,colliercynthia
15,colliercynthia,-1072,ianaa
15,ianaa,-2722,NULL

16,heatherparsons,-582,price
16,price,-3009,nicoleharris
16,nicoleharris,776,joneselizabeth
16,joneselizabeth,1724,mosstiffany
16,mosstiffany,-596,mariasnyder
16,mariasnyder,-1583,mperez
16,mperez,2202,davislindsay
16,davislindsay,-328,lkeller
16,lkeller,401,thompsonjason
16,thompsonjason,-2446,rsmith
16,rsmith,-2300,mbranch
16,mbranch,2107,melissaellis
16,melissaellis,2700,randallevans
16,randallevans,448,bgreen
16,bgreen,105,briandavis
16,briandavis,1105,jennifersalazar
16,jennifersalazar,-1374,vmcknight
16,vmcknight,2192,harrispatrick
16,harrispatrick,-1101,michaelortiz
16,michaelortiz,601,nicholasaa
16,nicholasaa,2544,bruceramirez
16,bruceramirez,-4363,usalazar
16,usalazar,-1293,nortonandrea
16,nortonandrea,-2499,ahale
16,ahale,-273,bespinoza
16,bespinoza,1928,kennethhale
16,kennethhale,116,kthomas
16,kthomas,-2735,williammorgan
16,williammorgan,-2060,apatel
16,apatel,-2062,cathysalazar
16,cathysalazar,-1696,wrightpatrick
16,wrightpatrick,1387,hmaldonado
16,hmaldonado,992,martintheresa
16,martintheresa,-2856,lauraaa
16,lauraaa,763,juliaaa
16,juliaaa,2107,rosesullivan
16,rosesullivan,2417,kennethbeard
16,kennethbeard,2729,NULL

17,ahanson,-497,jackbell
17,jackbell,1485,murraykristin
17,murraykristin,-323,albertaa
17,albertaa,35,paulamcgee
17,paulamcgee,-917,mosestiffany
17,mosestiffany,754,gutierrezjohn
17,gutierrezjohn,4027,boyerpaula
17,boyerpaula,57,twilson
17,twilson,-766,kstafford
17,kstafford,153,tracyfarmer
17,tracyfarmer,-2098,halledward
17,halledward,2073,smithjason
17,smithjason,-2179,brandonortiz
17,brandonortiz,2943,smithadam
17,smithadam,-86,dcrawford
17,dcrawford,-2512,robinsoncrystal
17,robinsoncrystal,708,dcaldwell
17,dcaldwell,608,meyerricky
17,meyerricky,-457,jleon
17,jleon,-1475,rosegregory
17,rosegregory,-1053,irwinsean
17,irwinsean,-1294,adamscarmen
17,adamscarmen,1736,tnolan
17,tnolan,-1079,banderson
17,banderson,2836,vjefferson
17,vjefferson,1019,walterkevin
17,walterkevin,4288,watsonkristen
17,watsonkristen,154,ulevine
17,ulevine,-1831,xowens
17,xowens,3133,josephmichelle
17,josephmichelle,233,kellycarroll
17,kellycarroll,644,dennismackenzie
17,dennismackenzie,664,bgibson
17,bgibson,1096,friedmantimothy
17,friedmantimothy,296,carrillohelen
17,carrillohelen,236,allenjames
17,allenjames,-2521,jennifergarcia
17,jennifergarcia,1859,kelleyjessica
17,kelleyjessica,97,vbolton
17,vbolton,-658,dawnaa
17,dawnaa,-3996,victoriagardner
17,victoriagardner,2105,dakotawagner
17,dakotawagner,889,timothycox
17,timothycox,1433,nlee
17,nlee,1486,franktimothy
17,franktimothy,-472,NULL

18,glenndaniel,-149,tlarsen
18,tlarsen,2032,wwalker
18,wwalker,-750,proberts
18,proberts,-895,qchapman
18,qchapman,-2997,stewartbeth
18,stewartbeth,-1407,hreilly
18,hreilly,4534,tayloraa
18,tayloraa,1127,nvasquez
18,nvasquez,923,bradlloyd
18,bradlloyd,1926,josephnorton
18,josephnorton,-1013,hcantrell
18,hcantrell,-97,janicejohnson
18,janicejohnson,-2289,mbrown
18,mbrown,2298,aguilarelizabeth
18,aguilarelizabeth,-3578,pauljeffrey
18,pauljeffrey,286,davidhoward
18,davidhoward,3919,halltara
18,halltara,-11,wendyaa
18,wendyaa,-628,brownmolly
18,brownmolly,-107,xhoward
18,xhoward,-1009,normanharry
18,normanharry,4447,cliffordowens
18,cliffordowens,-128,xgordon
18,xgordon,-1192,walkersarah
18,walkersarah,3224,mbowman
18,mbowman,1055,ericageorge
18,ericageorge,-497,denisemontgomery
18,denisemontgomery,420,ortegajason
18,ortegajason,1768,marybecker
